index_name,recall,throughput,latency,build time
raft_ivf_pq.nlist2048.pq_dim32.pq_bits8.ratio1.niter25,0.9743849206,3595.663937,0.0002781144722,56.35925623
raft_ivf_pq.nlist2048.pq_dim64.pq_bits6.ratio1.niter25,0.975411419,3408.262491,0.0002934064576,99.51319729
raft_ivf_pq.nlist1024.pq_dim32.pq_bits8.ratio1.niter25,0.9847327586,3320.422828,0.0003011682478,53.6732032
raft_ivf_pq.nlist4096.pq_dim64.pq_bits6.ratio1.niter25,0.9852564103,3120.526602,0.0003204609716,102.8806902
raft_ivf_pq.nlist1024.pq_dim64.pq_bits6.ratio1.niter25,0.9886179245,3025.769877,0.0003304966594,96.81328417
raft_ivf_pq.nlist1024.pq_dim64.pq_bits6.ratio1.niter25,0.9886572104,3020.7341,0.0003310474898,96.81328417
raft_ivf_pq.nlist2048.pq_dim32.pq_bits8.ratio1.niter25,0.9902586207,2985.830245,0.000334917363,56.35925623
raft_ivf_pq.nlist2048.pq_dim32.pq_bits8.ratio1.niter25,0.9904397706,2983.924439,0.0003351314097,56.35925623
raft_ivf_pq.nlist2048.pq_dim32.pq_bits8.ratio1.niter25,0.990561277,2781.160075,0.0003595644737,56.35925623
raft_ivf_pq.nlist2048.pq_dim64.pq_bits6.ratio1.niter25,0.993114241,2744.315253,0.0003643919911,99.51319729
raft_ivf_pq.nlist1024.pq_dim32.pq_bits8.ratio1.niter25,0.9932647679,2710.881444,0.0003688863771,53.6732032
raft_ivf_pq.nlist2048.pq_dim64.pq_bits8.ratio1.niter25,0.9938630137,2605.787353,0.0003837635414,100.217578
raft_ivf_pq.nlist2048.pq_dim32.pq_bits8.ratio1.niter25,0.9950028523,2504.418484,0.0003992969937,56.35925623
raft_ivf_pq.nlist1024.pq_dim64.pq_bits6.ratio1.niter25,0.9971437235,2357.304031,0.000424216117,96.81328417
raft_ivf_pq.nlist1024.pq_dim64.pq_bits8.ratio1.niter25,0.9981269841,2246.984005,0.0004450436819,97.72087464
raft_ivf_pq.nlist1024.pq_dim64.pq_bits8.ratio1.niter25,0.9981377551,2240.916826,0.000446248743,97.72087464
raft_ivf_pq.nlist2048.pq_dim64.pq_bits6.ratio1.niter25,0.9982042941,2199.64937,0.0004546206818,99.51319729
raft_ivf_pq.nlist2048.pq_dim64.pq_bits8.ratio1.niter25,0.9988736264,2078.106041,0.0004812104402,100.217578
raft_ivf_pq.nlist1024.pq_dim64.pq_bits6.ratio1.niter25,0.9990504705,1685.760313,0.0005932079914,96.81328417
raft_ivf_pq.nlist1024.pq_dim64.pq_bits8.ratio1.niter25,0.9997595726,1613.088842,0.0006199322547,97.72087464
raft_ivf_pq.nlist1024.pq_dim64.pq_bits8.ratio1.niter25,0.9997682709,1612.179157,0.0006202822986,97.72087464
hnswlib.M16.efConstruction512,0.5242955607,500125.1043,0.001577243473,2582
hnswlib.M24.efConstruction64,0.5365430057,486942.735,0.001613634544,564
